July 2023 Global Gridded Temperature Anomalies (Degrees Celsius)
Base Period: 1991-2020
Missing: -999.00
Latitude,Longitude,Anomaly
77.5S,107.5E,-1.45
77.5S,112.5E,-1.48
77.5S,117.5E,-1.51
77.5S,122.5E,-1.54
77.5S,127.5E,-1.56
77.5S,132.5E,-1.55
77.5S,137.5E,-1.53
77.5S,142.5E,-1.45
77.5S,147.5E,-1.33
77.5S,152.5E,-1.25
77.5S,157.5E,-1.29
77.5S,162.5E,-3.20
77.5S,167.5E,-3.93
77.5S,172.5E,-1.94
77.5S,177.5E,-2.03
77.5S,177.5W,-1.69
77.5S,172.5W,-1.49
77.5S,167.5W,-2.58
77.5S,162.5W,-3.29
77.5S,157.5W,-4.36
77.5S,152.5W,-4.34
77.5S,147.5W,-3.68
77.5S,142.5W,-3.60
77.5S,137.5W,-3.33
77.5S,132.5W,-3.01
77.5S,127.5W,-2.67
77.5S,122.5W,-2.36
77.5S,117.5W,-1.66
77.5S,112.5W,-0.47
77.5S,107.5W,0.49
77.5S,102.5W,0.88
77.5S,97.5W,0.95
77.5S,92.5W,0.99
77.5S,87.5W,0.82
77.5S,82.5W,0.72
77.5S,77.5W,0.55
77.5S,72.5W,0.60
77.5S,67.5W,0.98
77.5S,62.5W,1.36
77.5S,57.5W,1.66
77.5S,52.5W,1.87
77.5S,47.5W,1.75
77.5S,42.5W,1.09
77.5S,37.5W,0.91
77.5S,32.5W,1.13
77.5S,27.5W,1.99
77.5S,22.5W,0.25
77.5S,17.5W,0.09
77.5S,12.5W,0.15
77.5S,7.5W,0.41
77.5S,2.5W,0.74
72.5S,2.5E,1.97
72.5S,7.5E,0.28
72.5S,12.5E,0.21
72.5S,17.5E,-0.04
72.5S,22.5E,-0.32
72.5S,27.5E,-0.67
72.5S,32.5E,-0.92
72.5S,37.5E,-1.43
72.5S,42.5E,-2.01
72.5S,47.5E,-2.03
72.5S,52.5E,-2.26
72.5S,57.5E,-2.18
72.5S,62.5E,-2.10
72.5S,67.5E,-2.26
72.5S,72.5E,-5.27
72.5S,77.5E,-3.53
72.5S,82.5E,-2.55
72.5S,87.5E,-2.10
72.5S,92.5E,-1.67
72.5S,97.5E,-1.30
72.5S,102.5E,-1.10
72.5S,107.5E,-1.14
72.5S,112.5E,-1.09
72.5S,117.5E,-1.00
72.5S,122.5E,-1.06
72.5S,127.5E,-1.12
72.5S,132.5E,-1.22
72.5S,137.5E,-1.42
72.5S,142.5E,-1.48
72.5S,147.5E,-1.44
72.5S,152.5E,-1.39
72.5S,157.5E,-1.29
72.5S,162.5E,-0.75
72.5S,167.5E,-0.57
72.5S,172.5E,0.00
72.5S,177.5E,0.00
72.5S,177.5W,0.00
72.5S,172.5W,0.00
72.5S,167.5W,0.00
72.5S,162.5W,0.00
72.5S,157.5W,0.00
72.5S,152.5W,0.00
72.5S,147.5W,0.00
72.5S,142.5W,0.00
72.5S,137.5W,0.00
72.5S,132.5W,0.00
72.5S,127.5W,0.00
72.5S,122.5W,0.00
72.5S,117.5W,0.00
72.5S,112.5W,0.00
72.5S,107.5W,0.00
72.5S,102.5W,0.00
72.5S,97.5W,0.35
72.5S,92.5W,0.89
72.5S,87.5W,0.67
72.5S,82.5W,0.48
72.5S,77.5W,0.62
72.5S,72.5W,1.06
72.5S,67.5W,2.13
72.5S,62.5W,1.94
72.5S,57.5W,0.00
72.5S,52.5W,0.00
72.5S,47.5W,0.00
72.5S,42.5W,0.00
72.5S,37.5W,0.00
72.5S,32.5W,0.00
72.5S,27.5W,0.00
72.5S,22.5W,0.00
72.5S,17.5W,0.12
72.5S,12.5W,0.12
72.5S,7.5W,0.98
72.5S,2.5W,-0.05
67.5S,2.5E,0.00
67.5S,7.5E,0.00
67.5S,12.5E,0.00
67.5S,17.5E,0.00
67.5S,22.5E,0.00
67.5S,27.5E,0.00
67.5S,32.5E,-0.01
67.5S,37.5E,0.03
67.5S,42.5E,-0.12
67.5S,47.5E,-0.13
67.5S,52.5E,-1.06
67.5S,57.5E,-1.08
67.5S,62.5E,-0.75
67.5S,67.5E,-0.90
67.5S,72.5E,0.00
67.5S,77.5E,-0.55
67.5S,82.5E,-1.38
67.5S,87.5E,-1.86
67.5S,92.5E,-1.53
67.5S,97.5E,-1.41
67.5S,102.5E,-1.55
67.5S,107.5E,-1.16
67.5S,112.5E,-1.52
67.5S,117.5E,-1.22
67.5S,122.5E,-1.00
67.5S,127.5E,-0.87
67.5S,132.5E,-1.15
67.5S,137.5E,-0.76
67.5S,142.5E,-0.64
67.5S,147.5E,-0.23
67.5S,152.5E,-0.07
67.5S,157.5E,0.01
67.5S,162.5E,0.00
67.5S,167.5E,0.03
67.5S,172.5E,0.06
67.5S,177.5E,0.13
67.5S,177.5W,0.19
67.5S,172.5W,0.10
67.5S,167.5W,0.01
67.5S,162.5W,0.00
67.5S,157.5W,0.00
67.5S,152.5W,0.00
67.5S,147.5W,0.00
67.5S,142.5W,-0.02
67.5S,137.5W,-0.05
67.5S,132.5W,-0.11
67.5S,127.5W,-0.22
67.5S,122.5W,-0.32
67.5S,117.5W,-0.43
67.5S,112.5W,-0.55
67.5S,107.5W,-0.60
67.5S,102.5W,-0.65
67.5S,97.5W,-0.59
67.5S,92.5W,-0.52
67.5S,87.5W,-0.45
67.5S,82.5W,-0.35
67.5S,77.5W,-0.17
67.5S,72.5W,0.05
67.5S,67.5W,0.29
67.5S,62.5W,0.17
67.5S,57.5W,0.00
67.5S,52.5W,0.00
67.5S,47.5W,0.00
67.5S,42.5W,0.00
67.5S,37.5W,0.00
67.5S,32.5W,0.00
67.5S,27.5W,0.00
67.5S,22.5W,0.00
67.5S,17.5W,0.00
67.5S,12.5W,0.00
67.5S,7.5W,0.00
67.5S,2.5W,0.00
62.5S,2.5E,0.02
62.5S,7.5E,0.03
62.5S,12.5E,0.04
62.5S,17.5E,0.04
62.5S,22.5E,0.02
62.5S,27.5E,0.08
62.5S,32.5E,0.06
62.5S,37.5E,0.06
62.5S,42.5E,0.08
62.5S,47.5E,0.09
62.5S,52.5E,0.11
62.5S,57.5E,0.13
62.5S,62.5E,0.16
62.5S,67.5E,0.16
62.5S,72.5E,0.14
62.5S,77.5E,0.15
62.5S,82.5E,0.16
62.5S,87.5E,0.16
62.5S,92.5E,0.16
62.5S,97.5E,0.08
62.5S,102.5E,0.06
62.5S,107.5E,0.04
62.5S,112.5E,0.05
62.5S,117.5E,0.06
62.5S,122.5E,0.10
62.5S,127.5E,0.20
62.5S,132.5E,0.29
62.5S,137.5E,0.36
62.5S,142.5E,0.43
62.5S,147.5E,0.41
62.5S,152.5E,0.36
62.5S,157.5E,0.50
62.5S,162.5E,0.58
62.5S,167.5E,0.58
62.5S,172.5E,0.58
62.5S,177.5E,0.31
62.5S,177.5W,0.27
62.5S,172.5W,0.32
62.5S,167.5W,0.28
62.5S,162.5W,0.14
62.5S,157.5W,-0.04
62.5S,152.5W,-0.13
62.5S,147.5W,-0.23
62.5S,142.5W,-0.36
62.5S,137.5W,-0.49
62.5S,132.5W,-0.63
62.5S,127.5W,-0.69
62.5S,122.5W,-0.75
62.5S,117.5W,-0.86
62.5S,112.5W,-0.94
62.5S,107.5W,-0.99
62.5S,102.5W,-1.02
62.5S,97.5W,-1.05
62.5S,92.5W,-1.08
62.5S,87.5W,-1.05
62.5S,82.5W,-0.95
62.5S,77.5W,-0.87
62.5S,72.5W,-0.63
62.5S,67.5W,-0.34
62.5S,62.5W,0.19
62.5S,57.5W,0.37
62.5S,52.5W,0.09
62.5S,47.5W,0.26
62.5S,42.5W,0.24
62.5S,37.5W,0.12
62.5S,32.5W,0.09
62.5S,27.5W,0.07
62.5S,22.5W,0.10
62.5S,17.5W,0.08
62.5S,12.5W,0.05
62.5S,7.5W,0.03
62.5S,2.5W,0.02
57.5S,2.5E,0.29
57.5S,7.5E,0.26
57.5S,12.5E,0.18
57.5S,17.5E,0.15
57.5S,22.5E,0.13
57.5S,27.5E,0.17
57.5S,32.5E,0.20
57.5S,37.5E,0.17
57.5S,42.5E,0.15
57.5S,47.5E,0.13
57.5S,52.5E,0.15
57.5S,57.5E,0.17
57.5S,62.5E,0.20
57.5S,67.5E,0.25
57.5S,72.5E,0.27
57.5S,77.5E,0.27
57.5S,82.5E,0.27
57.5S,87.5E,0.20
57.5S,92.5E,0.15
57.5S,97.5E,0.04
57.5S,102.5E,-0.10
57.5S,107.5E,-0.18
57.5S,112.5E,-0.17
57.5S,117.5E,-0.11
57.5S,122.5E,-0.04
57.5S,127.5E,0.12
57.5S,132.5E,0.27
57.5S,137.5E,0.39
57.5S,142.5E,0.54
57.5S,147.5E,0.64
57.5S,152.5E,0.65
57.5S,157.5E,0.69
57.5S,162.5E,0.73
57.5S,167.5E,0.72
57.5S,172.5E,0.64
57.5S,177.5E,0.53
57.5S,177.5W,0.54
57.5S,172.5W,0.53
57.5S,167.5W,0.43
57.5S,162.5W,0.26
57.5S,157.5W,0.08
57.5S,152.5W,-0.09
57.5S,147.5W,-0.10
57.5S,142.5W,-0.04
57.5S,137.5W,-0.10
57.5S,132.5W,-0.23
57.5S,127.5W,-0.40
57.5S,122.5W,-0.47
57.5S,117.5W,-0.62
57.5S,112.5W,-0.66
57.5S,107.5W,-0.64
57.5S,102.5W,-0.65
57.5S,97.5W,-0.70
57.5S,92.5W,-0.70
57.5S,87.5W,-0.63
57.5S,82.5W,-0.49
57.5S,77.5W,-0.38
57.5S,72.5W,-0.23
57.5S,67.5W,-0.16
57.5S,62.5W,0.10
57.5S,57.5W,0.27
57.5S,52.5W,0.28
57.5S,47.5W,0.37
57.5S,42.5W,0.48
57.5S,37.5W,0.56
57.5S,32.5W,0.53
57.5S,27.5W,0.55
57.5S,22.5W,0.47
57.5S,17.5W,0.46
57.5S,12.5W,0.44
57.5S,7.5W,0.40
57.5S,2.5W,0.32
52.5S,2.5E,0.56
52.5S,7.5E,0.51
52.5S,12.5E,0.36
52.5S,17.5E,0.27
52.5S,22.5E,0.29
52.5S,27.5E,0.46
52.5S,32.5E,0.47
52.5S,37.5E,0.42
52.5S,42.5E,0.37
52.5S,47.5E,0.36
52.5S,52.5E,0.38
52.5S,57.5E,0.42
52.5S,62.5E,0.51
52.5S,67.5E,0.58
52.5S,72.5E,0.53
52.5S,77.5E,0.51
52.5S,82.5E,0.47
52.5S,87.5E,0.39
52.5S,92.5E,0.27
52.5S,97.5E,0.09
52.5S,102.5E,-0.12
52.5S,107.5E,-0.26
52.5S,112.5E,-0.27
52.5S,117.5E,-0.32
52.5S,122.5E,-0.28
52.5S,127.5E,-0.15
52.5S,132.5E,0.01
52.5S,137.5E,0.21
52.5S,142.5E,0.40
52.5S,147.5E,0.59
52.5S,152.5E,0.73
52.5S,157.5E,0.80
52.5S,162.5E,0.85
52.5S,167.5E,0.89
52.5S,172.5E,0.88
52.5S,177.5E,0.81
52.5S,177.5W,0.84
52.5S,172.5W,0.84
52.5S,167.5W,0.78
52.5S,162.5W,0.66
52.5S,157.5W,0.47
52.5S,152.5W,0.29
52.5S,147.5W,0.19
52.5S,142.5W,0.19
52.5S,137.5W,0.07
52.5S,132.5W,-0.04
52.5S,127.5W,-0.18
52.5S,122.5W,-0.37
52.5S,117.5W,-0.54
52.5S,112.5W,-0.66
52.5S,107.5W,-0.68
52.5S,102.5W,-0.63
52.5S,97.5W,-0.58
52.5S,92.5W,-0.48
52.5S,87.5W,-0.35
52.5S,82.5W,-0.22
52.5S,77.5W,-0.04
52.5S,72.5W,-0.13
52.5S,67.5W,0.24
52.5S,62.5W,0.36
52.5S,57.5W,0.44
52.5S,52.5W,0.41
52.5S,47.5W,0.42
52.5S,42.5W,0.56
52.5S,37.5W,0.59
52.5S,32.5W,0.67
52.5S,27.5W,0.63
52.5S,22.5W,0.56
52.5S,17.5W,0.58
52.5S,12.5W,0.59
52.5S,7.5W,0.59
52.5S,2.5W,0.55
47.5S,2.5E,0.74
47.5S,7.5E,0.72
47.5S,12.5E,0.54
47.5S,17.5E,0.45
47.5S,22.5E,0.49
47.5S,27.5E,0.54
47.5S,32.5E,0.35
47.5S,37.5E,0.34
47.5S,42.5E,0.39
47.5S,47.5E,0.43
47.5S,52.5E,0.49
47.5S,57.5E,0.63
47.5S,62.5E,0.88
47.5S,67.5E,1.02
47.5S,72.5E,0.96
47.5S,77.5E,1.01
47.5S,82.5E,0.88
47.5S,87.5E,0.58
47.5S,92.5E,0.37
47.5S,97.5E,0.16
47.5S,102.5E,-0.11
47.5S,107.5E,-0.29
47.5S,112.5E,-0.33
47.5S,117.5E,-0.41
47.5S,122.5E,-0.30
47.5S,127.5E,-0.22
47.5S,132.5E,-0.10
47.5S,137.5E,0.10
47.5S,142.5E,0.28
47.5S,147.5E,0.47
47.5S,152.5E,0.67
47.5S,157.5E,0.83
47.5S,162.5E,0.95
47.5S,167.5E,1.01
47.5S,172.5E,0.95
47.5S,177.5E,0.83
47.5S,177.5W,0.88
47.5S,172.5W,0.94
47.5S,167.5W,0.93
47.5S,162.5W,0.89
47.5S,157.5W,0.82
47.5S,152.5W,0.67
47.5S,147.5W,0.48
47.5S,142.5W,0.34
47.5S,137.5W,0.25
47.5S,132.5W,0.17
47.5S,127.5W,0.09
47.5S,122.5W,-0.14
47.5S,117.5W,-0.33
47.5S,112.5W,-0.56
47.5S,107.5W,-0.68
47.5S,102.5W,-0.68
47.5S,97.5W,-0.55
47.5S,92.5W,-0.38
47.5S,87.5W,-0.19
47.5S,82.5W,-0.03
47.5S,77.5W,0.20
47.5S,72.5W,-0.39
47.5S,67.5W,0.04
47.5S,62.5W,0.65
47.5S,57.5W,0.51
47.5S,52.5W,0.35
47.5S,47.5W,0.43
47.5S,42.5W,0.65
47.5S,37.5W,0.66
47.5S,32.5W,0.68
47.5S,27.5W,0.70
47.5S,22.5W,0.70
47.5S,17.5W,0.70
47.5S,12.5W,0.69
47.5S,7.5W,0.70
47.5S,2.5W,0.72
42.5S,2.5E,0.72
42.5S,7.5E,0.44
42.5S,12.5E,0.14
42.5S,17.5E,0.21
42.5S,22.5E,0.30
42.5S,27.5E,0.13
42.5S,32.5E,-0.18
42.5S,37.5E,-0.03
42.5S,42.5E,-0.04
42.5S,47.5E,-0.01
42.5S,52.5E,0.25
42.5S,57.5E,0.56
42.5S,62.5E,0.93
42.5S,67.5E,1.23
42.5S,72.5E,1.13
42.5S,77.5E,1.03
42.5S,82.5E,1.02
42.5S,87.5E,0.78
42.5S,92.5E,0.52
42.5S,97.5E,0.23
42.5S,102.5E,-0.03
42.5S,107.5E,-0.19
42.5S,112.5E,-0.25
42.5S,117.5E,-0.29
42.5S,122.5E,-0.24
42.5S,127.5E,-0.23
42.5S,132.5E,-0.09
42.5S,137.5E,0.07
42.5S,142.5E,0.17
42.5S,147.5E,0.53
42.5S,152.5E,0.37
42.5S,157.5E,0.53
42.5S,162.5E,0.70
42.5S,167.5E,0.80
42.5S,172.5E,0.74
42.5S,177.5E,0.61
42.5S,177.5W,0.69
42.5S,172.5W,0.82
42.5S,167.5W,0.91
42.5S,162.5W,0.92
42.5S,157.5W,0.94
42.5S,152.5W,0.93
42.5S,147.5W,0.85
42.5S,142.5W,0.68
42.5S,137.5W,0.59
42.5S,132.5W,0.53
42.5S,127.5W,0.29
42.5S,122.5W,0.01
42.5S,117.5W,-0.17
42.5S,112.5W,-0.44
42.5S,107.5W,-0.55
42.5S,102.5W,-0.57
42.5S,97.5W,-0.54
42.5S,92.5W,-0.39
42.5S,87.5W,-0.15
42.5S,82.5W,0.10
42.5S,77.5W,0.33
42.5S,72.5W,0.67
42.5S,67.5W,0.75
42.5S,62.5W,0.92
42.5S,57.5W,0.80
42.5S,52.5W,0.30
42.5S,47.5W,0.32
42.5S,42.5W,0.54
42.5S,37.5W,0.54
42.5S,32.5W,0.55
42.5S,27.5W,0.61
42.5S,22.5W,0.63
42.5S,17.5W,0.61
42.5S,12.5W,0.62
42.5S,7.5W,0.61
42.5S,2.5W,0.77
37.5S,2.5E,0.55
37.5S,7.5E,0.10
37.5S,12.5E,-0.34
37.5S,17.5E,-0.30
37.5S,22.5E,-0.13
37.5S,27.5E,-0.23
37.5S,32.5E,-0.36
37.5S,37.5E,-0.24
37.5S,42.5E,-0.32
37.5S,47.5E,-0.34
37.5S,52.5E,-0.05
37.5S,57.5E,0.34
37.5S,62.5E,0.68
37.5S,67.5E,0.96
37.5S,72.5E,1.07
37.5S,77.5E,1.07
37.5S,82.5E,1.08
37.5S,87.5E,0.94
37.5S,92.5E,0.75
37.5S,97.5E,0.41
37.5S,102.5E,0.14
37.5S,107.5E,-0.08
37.5S,112.5E,-0.34
37.5S,117.5E,-0.45
37.5S,122.5E,-0.42
37.5S,127.5E,-0.39
37.5S,132.5E,-0.23
37.5S,137.5E,-0.02
37.5S,142.5E,0.35
37.5S,147.5E,0.52
37.5S,152.5E,0.02
37.5S,157.5E,0.08
37.5S,162.5E,0.31
37.5S,167.5E,0.49
37.5S,172.5E,0.57
37.5S,177.5E,0.46
37.5S,177.5W,0.51
37.5S,172.5W,0.64
37.5S,167.5W,0.71
37.5S,162.5W,0.75
37.5S,157.5W,0.82
37.5S,152.5W,0.89
37.5S,147.5W,0.87
37.5S,142.5W,0.76
37.5S,137.5W,0.65
37.5S,132.5W,0.47
37.5S,127.5W,0.17
37.5S,122.5W,-0.11
37.5S,117.5W,-0.31
37.5S,112.5W,-0.49
37.5S,107.5W,-0.50
37.5S,102.5W,-0.54
37.5S,97.5W,-0.51
37.5S,92.5W,-0.35
37.5S,87.5W,-0.12
37.5S,82.5W,0.21
37.5S,77.5W,0.52
37.5S,72.5W,0.96
37.5S,67.5W,1.37
37.5S,62.5W,0.99
37.5S,57.5W,1.27
37.5S,52.5W,0.86
37.5S,47.5W,0.35
37.5S,42.5W,0.33
37.5S,37.5W,0.29
37.5S,32.5W,0.37
37.5S,27.5W,0.47
37.5S,22.5W,0.50
37.5S,17.5W,0.56
37.5S,12.5W,0.63
37.5S,7.5W,0.73
37.5S,2.5W,0.68
32.5S,2.5E,0.38
32.5S,7.5E,0.07
32.5S,12.5E,-0.28
32.5S,17.5E,-0.43
32.5S,22.5E,-0.37
32.5S,27.5E,-0.30
32.5S,32.5E,-0.15
32.5S,37.5E,-0.21
32.5S,42.5E,-0.44
32.5S,47.5E,-0.37
32.5S,52.5E,-0.03
32.5S,57.5E,0.31
32.5S,62.5E,0.60
32.5S,67.5E,0.96
32.5S,72.5E,1.15
32.5S,77.5E,1.22
32.5S,82.5E,1.15
32.5S,87.5E,0.99
32.5S,92.5E,0.81
32.5S,97.5E,0.54
32.5S,102.5E,0.16
32.5S,107.5E,-0.19
32.5S,112.5E,-0.55
32.5S,117.5E,-0.09
32.5S,122.5E,-0.16
32.5S,127.5E,-0.28
32.5S,132.5E,-0.15
32.5S,137.5E,0.20
32.5S,142.5E,0.50
32.5S,147.5E,0.90
32.5S,152.5E,0.32
32.5S,157.5E,0.15
32.5S,162.5E,0.20
32.5S,167.5E,0.28
32.5S,172.5E,0.33
32.5S,177.5E,0.33
32.5S,177.5W,0.37
32.5S,172.5W,0.42
32.5S,167.5W,0.43
32.5S,162.5W,0.47
32.5S,157.5W,0.55
32.5S,152.5W,0.62
32.5S,147.5W,0.66
32.5S,142.5W,0.58
32.5S,137.5W,0.46
32.5S,132.5W,0.33
32.5S,127.5W,0.13
32.5S,122.5W,-0.09
32.5S,117.5W,-0.29
32.5S,112.5W,-0.32
32.5S,107.5W,-0.30
32.5S,102.5W,-0.33
32.5S,97.5W,-0.18
32.5S,92.5W,0.03
32.5S,87.5W,0.21
32.5S,82.5W,0.53
32.5S,77.5W,0.81
32.5S,72.5W,1.05
32.5S,67.5W,1.97
32.5S,62.5W,2.12
32.5S,57.5W,1.57
32.5S,52.5W,1.17
32.5S,47.5W,0.56
32.5S,42.5W,0.27
32.5S,37.5W,0.11
32.5S,32.5W,0.18
32.5S,27.5W,0.28
32.5S,22.5W,0.39
32.5S,17.5W,0.43
32.5S,12.5W,0.42
32.5S,7.5W,0.48
32.5S,2.5W,0.50
27.5S,2.5E,0.14
27.5S,7.5E,-0.14
27.5S,12.5E,-0.35
27.5S,17.5E,-0.37
27.5S,22.5E,0.95
27.5S,27.5E,0.67
27.5S,32.5E,-0.04
27.5S,37.5E,0.22
27.5S,42.5E,0.11
27.5S,47.5E,0.11
27.5S,52.5E,0.31
27.5S,57.5E,0.48
27.5S,62.5E,0.68
27.5S,67.5E,0.90
27.5S,72.5E,0.97
27.5S,77.5E,1.01
27.5S,82.5E,0.94
27.5S,87.5E,0.67
27.5S,92.5E,0.55
27.5S,97.5E,0.36
27.5S,102.5E,-0.01
27.5S,107.5E,-0.37
27.5S,112.5E,-0.65
27.5S,117.5E,-0.65
27.5S,122.5E,-0.56
27.5S,127.5E,-0.19
27.5S,132.5E,0.19
27.5S,137.5E,1.11
27.5S,142.5E,1.14
27.5S,147.5E,0.96
27.5S,152.5E,0.71
27.5S,157.5E,0.45
27.5S,162.5E,0.30
27.5S,167.5E,0.27
27.5S,172.5E,0.32
27.5S,177.5E,0.33
27.5S,177.5W,0.30
27.5S,172.5W,0.34
27.5S,167.5W,0.36
27.5S,162.5W,0.37
27.5S,157.5W,0.44
27.5S,152.5W,0.49
27.5S,147.5W,0.52
27.5S,142.5W,0.40
27.5S,137.5W,0.40
27.5S,132.5W,0.22
27.5S,127.5W,0.11
27.5S,122.5W,-0.06
27.5S,117.5W,-0.14
27.5S,112.5W,-0.05
27.5S,107.5W,0.05
27.5S,102.5W,0.15
27.5S,97.5W,0.35
27.5S,92.5W,0.50
27.5S,87.5W,0.61
27.5S,82.5W,0.79
27.5S,77.5W,0.77
27.5S,72.5W,0.90
27.5S,67.5W,1.84
27.5S,62.5W,2.43
27.5S,57.5W,1.53
27.5S,52.5W,1.90
27.5S,47.5W,0.63
27.5S,42.5W,0.10
27.5S,37.5W,0.10
27.5S,32.5W,0.12
27.5S,27.5W,0.13
27.5S,22.5W,0.21
27.5S,17.5W,0.28
27.5S,12.5W,0.25
27.5S,7.5W,0.25
27.5S,2.5W,0.23
22.5S,2.5E,0.06
22.5S,7.5E,-0.15
22.5S,12.5E,-0.14
22.5S,17.5E,-0.60
22.5S,22.5E,0.32
22.5S,27.5E,0.27
22.5S,32.5E,0.37
22.5S,37.5E,0.66
22.5S,42.5E,0.59
22.5S,47.5E,0.53
22.5S,52.5E,0.55
22.5S,57.5E,0.60
22.5S,62.5E,0.62
22.5S,67.5E,0.71
22.5S,72.5E,0.76
22.5S,77.5E,0.84
22.5S,82.5E,0.73
22.5S,87.5E,0.50
22.5S,92.5E,0.30
22.5S,97.5E,-0.06
22.5S,102.5E,-0.30
22.5S,107.5E,-0.51
22.5S,112.5E,-0.67
22.5S,117.5E,-0.71
22.5S,122.5E,-0.25
